iter	Logloss
299	0.2865687376
300	0.2865357772
301	0.2863802725
302	0.286286213
303	0.2861203188
304	0.2860250216
305	0.2856710322
306	0.2854960716
307	0.2854002176
308	0.2852909106
309	0.2851316814
310	0.2850191391
311	0.2848838214
312	0.2847263065
313	0.2846610943
314	0.2844372147
315	0.2840950005
316	0.2839411887
317	0.283559517
318	0.2833966438
319	0.2831284525
320	0.2829455615
321	0.2826856905
322	0.2826624349
323	0.2825166889
324	0.2823782776
325	0.2821985567
326	0.2821125316
327	0.2820266408
328	0.2819580928
329	0.2817733459
330	0.2816236184
331	0.2813497464
332	0.2812769273
333	0.2811491864
334	0.2811131775
335	0.2809753631
336	0.2809248867
337	0.2808112358
338	0.2807155474
339	0.2805815339
340	0.2804061907
341	0.2803292322
342	0.2803082852
343	0.2802094441
344	0.2800458824
345	0.2799749958
346	0.2796937364
347	0.2796176181
348	0.2794552464
349	0.2793585848
350	0.2790932527
351	0.2790414521
352	0.2789022068
353	0.2787519188
354	0.2786070982
355	0.2785710429
356	0.2784784958
357	0.2784226585
358	0.2783453852
359	0.2781051094
360	0.2780054633
361	0.2778339223
362	0.2776979676
363	0.2774567212
364	0.2774052466
365	0.2771849209
366	0.2771134474
367	0.2770591688
368	0.2769579489
369	0.2768367965
370	0.276784473
371	0.2766630171
372	0.2765743248
373	0.2765221405
374	0.2763647058
375	0.2763033622
376	0.2762529635
377	0.2761986624
378	0.2760019121
379	0.2759097812
380	0.275860387
381	0.275835263
382	0.2758098279
383	0.2757969128
384	0.2755694405
385	0.2754552479
386	0.2754330118
387	0.2754305401
388	0.2753180329
389	0.27520493
390	0.2750951841
391	0.2750373579
392	0.2749762789
393	0.2748581675
394	0.274812588
395	0.2746636154
396	0.27458178
397	0.2744798604
398	0.2744355337
399	0.2743114996
400	0.2741400338
401	0.2739988825
402	0.2738648627
403	0.2737881073
404	0.2736996457
405	0.2736476896
406	0.2736215548
407	0.2735430951
408	0.2734955243
409	0.2734409247
410	0.2732513736
411	0.273149074
412	0.2730930185
413	0.2730701291
414	0.2729747441
415	0.2728402089
416	0.2727262897
417	0.2726282688
418	0.2725716465
419	0.2724930514
420	0.2724429262
421	0.2723632213
422	0.2723045362
423	0.2722447287
424	0.2720848563
425	0.2719067066
426	0.2718390666
427	0.2717594972
428	0.2716065557
429	0.2714519752
430	0.2713835602
431	0.2712491203
432	0.2711687295
433	0.2711265371
434	0.2710994003
435	0.2710103832
436	0.2710055289
437	0.2708662022
438	0.2707894693
439	0.2706596693
440	0.2706100206
441	0.2704875151
442	0.2703765616
443	0.2703187718
444	0.2701337678
445	0.2699801817
446	0.2699084649
447	0.2697742031
448	0.2696432732
449	0.2696055037
450	0.2694819235
451	0.2693402305
452	0.269200219
453	0.269121713
454	0.2690521205
455	0.268980889
456	0.2689019165
457	0.2688719958
458	0.2688662261
459	0.2687147054
460	0.2686974226
461	0.2686619806
462	0.2686452558
463	0.2684941928
464	0.2684656302
465	0.2683366127
466	0.2682927888
467	0.268201423
468	0.2680394162
469	0.2679943822
470	0.2679487074
471	0.2679241451
472	0.26785179
473	0.2678038994
474	0.2677386746
475	0.267593607
476	0.2675619345
477	0.2675313066
478	0.2674684594
479	0.2674196621
480	0.2673769844
481	0.267356608
482	0.267306958
483	0.2672753231
484	0.2672260442
485	0.2670884882
486	0.2669754041
487	0.2668954045
488	0.266836204
489	0.2667883673
490	0.2666529832
491	0.2666080307
492	0.2665513984
493	0.2665374136
494	0.2664785805
495	0.2663481635
496	0.2663099839
497	0.2662799554
498	0.2662589871
499	0.2662221682
